Event_name,Location,Depth,Magnitude
C082777A,-8.06 125.30,25.0,6.4
B082877A,38.21 8.21,10.0,5.1
B082877B,-29.06 -177.15,44.0,5.5
B082877C,-1.08 146.23,33.0,5.2
B082977A,-59.50 -21.30,33.0,5.2
C082977B,17.44 119.87,12.0,6.0
B083077A,51.38 -173.79,33.0,5.4
C083177A,7.34 -76.30,33.0,5.7
B090177A,-11.74 117.47,33.0,5.6
B090277A,26.41 126.41,97.0,5.6
B090277B,-11.04 119.15,33.0,6.0
B090377A,-15.29 -173.24,18.0,5.4
B090377B,12.54 -87.53,79.0,5.3
C090477A,-13.68 166.71,33.0,6.0
B090477B,51.21 178.39,34.0,5.6
B090477C,51.10 178.27,31.0,5.5
M090477D,51.14 177.95,8.0,5.8
B090477E,51.18 178.25,41.0,5.5
B090577A,-11.13 118.26,33.0,5.7
B090677A,-10.35 161.05,61.0,5.5
B090677B,1.59 126.45,64.0,5.5
B090677C,-6.07 143.09,33.0,5.4
B090777A,-11.10 119.51,33.0,5.5
B090777B,-1.60 127.50,59.0,5.6
B090877A,-33.91 77.50,33.0,5.1
B090977A,42.98 131.36,499.0,4.9
B091077B,13.95 -91.68,78.0,5.6
B091077A,-6.57 107.09,105.0,5.9
B091177B,-59.63 150.29,33.0,5.4
B091177C,-15.39 -173.21,33.0,5.4
B091177A,35.05 23.03,33.0,5.8
B091277A,-12.78 -14.69,21.0,5.3
B091277B,-59.44 -25.93,33.0,5.3
B091377A,-15.45 -173.29,33.0,5.7
B091477A,-56.38 -25.66,38.0,5.9
B091677A,46.27 12.97,25.0,5.1
B091777A,11.77 143.13,33.0,6.0
B091877A,-13.58 166.75,73.0,5.5
B091977A,-1.98 126.63,33.0,5.9
B091977B,-16.37 178.03,22.0,5.5
B091977C,-27.80 -177.99,206.0,5.1
B092077A,-23.35 -68.33,114.0,5.3
B092177B,-23.50 -175.23,15.0,5.5
B092177C,20.03 -109.15,33.0,5.7
B092177A,51.75 155.21,231.0,5.6
B092377B,-11.21 118.22,33.0,6.0
B092377A,-5.76 128.83,309.0,5.5
B092577A,-21.83 -179.45,606.0,5.4
B092577B,-11.30 117.25,33.0,5.6
B092677A,-60.04 150.59,33.0,5.3
B093077A,11.25 -85.83,66.0,5.2
B093077B,-16.04 -172.93,33.0,5.4
B100177A,-10.08 117.50,33.0,5.6
B100277A,11.57 121.57,33.0,5.4
B100477A,10.41 -62.31,21.0,5.1
B100477B,36.09 139.74,66.0,5.4
B100577B,-28.25 -70.74,52.0,5.4
B100577C,40.96 33.41,33.0,5.3
B100577D,-29.01 -176.89,56.0,5.4
B100577A,-18.58 -177.72,573.0,5.6
B100577E,-11.48 117.38,33.0,5.5
B100577F,-11.19 117.17,33.0,5.6
B100777A,-9.97 117.33,33.0,5.7
B100777B,-10.08 117.66,33.0,5.6
C100777C,-9.95 117.32,33.0,5.9
B100777D,-9.93 117.32,33.0,5.6
B100777E,-9.85 117.26,33.0,5.8
B100777F,-10.01 117.16,33.0,5.7
